Time (s);HRR (kW/m²);EHC (MJ/kg);SEA (m²/kg);MLR (g/s);Specific MLR (g/s·m²);COY (kg/kg);CO2Y (kg/kg);THR (MJ/m²);MFR (g/s);k (1/m);V stack (l/s);V smoke (l/s);SPR (m²/s);RSR ((m²/s)/m²);TSP (m²);TSR (m²/m²);COP (g/s);CO2P (g/s);O2C (g/s);TOC (g);ARHE(kW/m²);Specimen mass (g)
75;695.594491906167;60.5253804646468;453.139240163895;0.114926083333333;11.4926083333333;0.0549640897534724;4.41734881232215;8.14870088513713;20.2838060330322;2.31295915262779;21.4235358668643;22.5155373009994;0.0520775180766789;5.20775180766789;0.822797656187789;82.2797656187789;0.00631680755934835;0.507668597717334;0.515963781913265;6.01698342406962;108.649345135162;24.646436
78;820.523274956134;52.2325296594317;419.577146444742;0.157090472222222;15.7090472222222;0.0492024502997858;3.71141444512503;10.4228775354306;19.5326197383015;2.89457780673007;21.3384815698133;22.770703180066;0.0659115720686569;6.59115720686569;0.999781291405793;99.9781291405793;0.00772923615208375;0.583027847797066;0.609003723001459;7.7044346814417;133.626635069623;24.31385
81;901.177801945622;28.3378379096419;209.145218061895;0.318012194444445;31.8012194444445;0.0282385231501349;2.05050486264176;13.0054291507832;18.5624242762946;2.92244795775336;21.0072981882598;22.7585677195619;0.0665107297534253;6.65107297534253;1.19841474413892;119.841474413892;0.00898019471484466;0.652085551087711;0.672915996344386;9.62731426046047;160.560853713373;23.622911
84;1092.96959404088;44.9512676060279;319.564055584742;0.243145444444445;24.3145444444445;0.0446046770238919;3.39336198046695;15.996650244763;19.4741475951741;3.10348875402374;22.7626391157403;25.036515509483;0.0777005443236214;7.77005443236214;1.41473165525449;141.473165525449;0.0108454240192751;0.825080506901518;0.82376131530003;11.8723302279271;190.436312437654;22.567954
87;1052.69287101628;47.75016629686;261.044294662527;0.220458472222222;22.0458472222222;0.0465879382879416;3.94154242565968;19.2151439423487;16.1371651817695;2.62921616623616;19.5213839203625;21.8884347063836;0.0575494263836284;5.75494263836284;1.61760661131536;161.760661131536;0.0102707056989428;0.868946421360005;0.806267476433182;14.3173734155269;220.863723475273;22.127707
90;1195.20518382782;29.3216159350558;151.629647061523;0.407619138888889;40.7619138888889;0.0269692882826943;2.51953088152959;22.5869910246149;15.2893414987792;2.79705841637758;19.2206949894764;22.0971953261132;0.0618071461652443;6.18071461652443;1.79664147013867;179.664147013867;0.0109931980662381;1.02700900833306;0.925571868599728;16.9151324330763;250.966566940165;21.105454
93;1399.34635291489;43.5687850453076;211.263065687329;0.321180944444445;32.1180944444445;0.0370261394630283;3.56496861574908;26.4788183297289;14.447528014735;3.03838338547608;18.9384656023905;22.3321623229101;0.067853670963685;6.7853670963685;1.99113269583206;199.113269583206;0.0118920904418672;1.1449999869211;1.08651228789591;19.9332586678197;284.718476663752;19.859416
96;1661.07943016807;43.7558670829825;197.892465374539;0.379624388888889;37.9624388888889;0.0346228860819547;3.4235602669572;31.0694570043534;14.6186266500271;3.12082950918521;19.9042292973608;24.0720635370879;0.0751248062335251;7.51248062335251;2.20560041162788;220.560041162788;0.0131436919704317;1.29966697416791;1.29452707027978;23.5048177050833;323.640177128681;19.095915
99;1527.55023771292;40.1637556321919;174.868679013295;0.380330527777778;38.0330527777778;0.0313955348818209;3.14669202652019;35.8524015061749;12.3261791373225;3.07311800369818;17.4051119896193;21.641829861689;0.0665078969809292;6.65078969809292;2.41804946644956;241.804946644956;0.0119406803514686;1.19678303920055;1.19733394776813;27.2426092321551;362.145469759342;17.613909
102;1915.4823597253;52.1699708659456;198.040441505766;0.367161861111111;36.7161861111111;0.0391928636599804;4.15418587960439;41.0169504023322;14.3873434321575;2.73185358604657;20.9290144039969;26.6166889213672;0.072712897078523;7.2712897078523;2.62688065753874;262.688065753874;0.0143901247636724;1.52525861895705;1.51118114973679;31.3053818784125;402.126964728747;16.807876
105;2052.40154037551;32.8115410567024;76.7762268985494;0.625512083333333;62.5512083333333;0.0218300342073533;2.60663191155287;46.9687762524834;14.3294320838341;1.71962598201407;21.4779019767167;27.9272691504329;0.0480244576377843;4.80244576377843;2.8079866896132;280.79866896132;0.0136549501762795;1.63047975747859;1.62751467723229;36.0134256188661;447.32167859508;15.247003
108;1862.78170604563;46.9313934721849;151.429492503704;0.396915916666667;39.6915916666667;0.0283470953411349;3.84937144354618;52.8415511221151;12.2194152093827;2.41414254602182;18.7907835009859;24.896945678092;0.0601047758274759;6.01047758274759;2.97018053981109;297.018053981109;0.011251413332164;1.52787679510562;1.48841509659618;40.6873202796088;489.273621501066;13.378494
111;1916.13161295046;43.6919340322299;78.1252374955162;0.438555;43.8555;0.0245430653140611;3.84283992931997;58.5099211006093;11.912629239202;1.35174303517793;18.7498725321777;25.3466913741755;0.0342622135298461;3.42622135298461;3.11173102384707;311.173102384707;0.0107634840088081;1.68529666520292;1.54648510362781;45.2396705799448;527.116406311795;12.697288
114;2146.39674353212;41.579039229686;44.3137945333833;0.516220861111111;51.6220861111111;0.0234175324017473;3.54829439047324;64.6037136353331;11.7556692307861;0.871242473250219;18.9950429844505;26.2564164115931;0.022875705173124;2.2875705173124;3.19743790190153;319.743790190153;0.0120886187415274;1.83170358572582;1.74916838193689;50.1831508082919;566.699242415203;10.699129
117;2677.04060596525;47.0582964867701;20.9761984478267;0.5688775;56.88775;0.038780855929326;3.44019230899594;71.8388696595792;12.5591615456605;0.400776248682411;20.9063949885597;29.7744374117329;0.0119328873325035;1.19328873325035;3.24965079065997;324.965079065997;0.0220615563689352;1.95704800026084;2.2094270671314;56.1210439818943;614.007432987856;9.600063
120;2567.94095050039;31.8287868187666;7.42254851404106;0.80679825;80.679825;0.0300675806743264;2.09628590947968;79.7063419942777;10.8536036369565;0.216132575056518;18.7195902141968;27.7075269662727;0.00598849915166842;0.598849915166842;3.27653287038623;327.653287038623;0.0242584714697803;1.69127980326787;2.15175117565035;62.662811346067;664.21951661898;7.184645
123;2646.91553860285;42.8924797663816;45.8258808182798;0.617104805555555;61.7104805555555;0.0411270099328603;2.70977525082723;87.5286267279325;10.7312454115512;0.975052387942446;19.0652269479464;29.0029249930373;0.0282793712717766;2.82793712717766;3.3279346760214;332.79346760214;0.0253796754676991;1.672215329261;2.23493551612893;69.2428413837359;711.614851446606;5.061006
126;2830.59233886507;50.1758837348504;26.5774763129679;0.564134027777778;56.4134027777778;0.048988129457046;3.17946849569095;95.7448885441344;11.5105147617685;0.461387461499198;20.9230652370169;32.4960256004468;0.0149932587606031;1.49932587606031;3.39284362106996;339.284362106996;0.0276358707839026;1.79364636866669;2.38874649882582;76.178364406168;759.880067810591;3.43141
129;2486.83835290703;73.9637981660137;40.289907561925;0.336223722222222;33.6223722222222;0.0826744850495812;4.30063745460669;103.721034581793;11.5326265128503;0.406978549472892;21.2358818329709;33.2853481000526;0.0135464226884597;1.35464226884597;3.43565314324356;343.565314324356;0.0277971230961756;1.44597633291617;2.04329997443225;82.8264341160551;804.039027765834;1.789956
132;1834.17237350656;78.5852432370975;471.288296845063;0.233399083333333;23.3399083333333;0.101880869207987;3.53760810991036;110.202550671413;10.62383007342;3.67998144881186;19.4204686824819;29.890981245267;0.109998256469366;10.9998256469366;3.6209701619803;362.09701619803;0.0237789014823475;0.825674490045645;1.44082692100009;88.0526244592036;834.867808116765;1.32507
